Street,HouseNumber,Locality,Region,Province,PostalCode,Country,Latitude,Longitude
Uludağ Caddesi,250,Yiğitali,Osmangazi̇,Bursa,16370,Turkey,40.177372,29.0175705
Özgül Sok,3,Ömeranlı,Kulu,Konya,42770,Turkey,38.9369609,33.0035235
Derviş Görgün Caddesi,43,Umurça,Bodrum,Muğla,48470,Turkey,37.0360635,27.439625
Ömer Akpınar Caddesi,39,Alipaşa,Akpınar,Kırşehir,40320,Turkey,39.4493237,33.9604034
1855 Gazi RESTAURANT,62,Yusufpaşa,Kars Merkez,Kars,36000,Turkey,40.6080521,43.0928201
İzmir-Ayvalık Yolu,515,Ovacık,Bergama,İzmir,35100,Turkey,39.0594098,27.1050006
Kurtalan Yolu Caddesi,132,Kooperatif,Siirt Merkez,Siirt,56100,Turkey,37.9442692,41.9076313
Esat Caddesi,143,Küçükesat,Çankaya,Ankara,06660,Turkey,39.9051714,32.868436
Şehit Cengiz Topel Caddesi,36,Bostanlı,Karşıyaka,İzmir,35590,Turkey,38.4602792,27.090999
İsmet Paşa Caddesi,38,Çay,Gökçebey,Zonguldak,67670,Turkey,41.3060987,32.143754
Gerdiş Sokak,22,Gaferli Mah,Cappadocia,Nevşehir,50180,Turkey,38.6430694,34.8311766
Adana Sivas Yolu,63,İslam,Feke,Adana,01660,Turkey,37.8152677,35.9133475
Kalıcı Konutlar Yolu,3,Çamlıevler,Düzce Merkez,Düzce,81100,Turkey,40.8694806,31.2328189
Kozpinar Mevkii,16-10,Tulum,Torbalı,İzmir,35860,Turkey,38.070365,27.409942
PTT Caddesi,17,Eski,Finike,Antalya,07740,Turkey,36.2981019,30.1447008
Av. Ali Demir Caddesi,1,Moğultay,Tunceli Merkez,Tunceli,62000,Turkey,39.1049007,39.5481477
İnönü Caddesi,97,Gülabibey,Çorum Merkez,Çorum,19100,Turkey,40.5437109,34.9501223
1536. Sokak,7,İşçi Blokları,Çankaya,Ankara,06520,Turkey,39.8931034,32.7959158
Yenişehir Sokak,9,Yukarı mahalle,Akıncılar,Sivas,58550,Turkey,40.0784776,38.3471553
