First Name,Last Name
Abdulhaşim,Demir
Abdulvehap,Olmaz
Akarsu,Kırış
Akdoğ,Yeşil
Akizer,Kaskalan
Akkuş,Ulutaş
Aksuna,Aydın
Alaatdin,İlker
Alabezek,Şen gökçeimam
Alagöz,Dayangaç
Alaçuk,Arslankeçecioğlu
Altuna,Akdemir
Altunç,Güzelküçük
Alım,Yılmaz
Anı,Şahin
Argın,Bayraktaroğlu
Atfi,Atik
Atie,Babayiğit
Atlı,Demirel
Ayişe,Avlanır
Ayni,Gülşan
Aysima,Yazak
Ayulduz,Apaydın
Ayşekadin,Demirtaş
Aşa,Filiz
Aşkıner,Dere
Bahaittin,Özcan
Bahti,Bozoğlu
Barboros,Kaan
Baybek,Fişekci
Baysungur,Badem
Beray,Özdemir
Berzor,Veziroğlu Birdane
Berşe,Gökçen
Bilal,Kaskalan
Bilgekurt,Yavuz
Bilgütay,Araz Server
Boncuk,Dinler
Boz,Emlek
Bozkaya,Elverdi
Cevher,Temel
Dadak,Güneysu
Dayı,Avcı
Demirbüken,Kayka
Dinçsay,Tan
Duruöz,Özer
Dülger,Sarıkaya
Edaviye,Bertan
Ejder,Taş
Ercihan,Kaya
Eroğan,Mercan
Erte,Kardaş
Eryıldız,Canbolat
Esmanperi,Güvercin
Evhat,Aktemur
Eşraf,Can Boran
Fati,Yılmabaşar
Feriş,Akar
Ferman,Sucak
Fetiye,Sökmen
Feyiz,Saatçıoğlu
Füruzan,Ergün
Geji,Başkan
Gencaslan,Bak
Gökçebalan,Baysoy
Gölgen,Özdemir
Gönenç,Baratalı
Görker,Kılınç
Güder,Üstün
Gülefşan,Yeral
Gülesen,İlker
Gülhisar,Kansu
Gülice,Kısa
Gülmisal,Özmen
Gülsepen,Sarıçiçek
Gültane,Tunç
Gülşad,Gök
Gülşat,Akçay
Güngör,Kırhan
Gürkan,Biçer
Güçmen,Yıldız
Hafiz,Demirel
Hasbiye,Yalçın
Henzede,Soydan
Hoşnigâr,Altaş
Huri,Çetin
Hussaini,Yumurtaş
Hür,Akıncı
Hüsnüye,Bulur
Ilgaz,Eker
Işıldar,Görmeli
Işınsal,Gülen Akküçük
Julide,Yılmaz
Jülide,Aktan
Kaptan,Eroğlu
Karanalp,Doğan
Karayağız,Özer
Karaörs,Özalp
Karhan,Kılınç
Kaygusuz,Yılmaz
Keleş,Öztürk
Keskinay,Bilgiç
Kevnî,Çınarlık
Konuralp,İlgün
Koralp,Okur
Köşker,Akkaya
Kılıçer,Çakmak
Kırdar,Kocabaş
Lalihan,Aytaç
Leman,Kocayiğit
Lâleruh,Barbaros
Lütuf,Çetin
Maksüde,Yıldız Altun
Medet,Dönmez
Mekiye,Ceran
Mensur,Tunç
Menşüre,Baklacı
Merali,Böyük
Mertel,Onan
Misal,Şahin
Mülhim,Akduman
Münevver,Kır
Mürşid,Çiçekbilek
Nardane,Çobanyıldızı
Nebat,Bayram
Nebiye,Kıvrak
Nesteren,Bağ
Nevale,Çelik
Nihaye,Tıraş
Nizami,Onay
Nurberat,Yönet
Nurlu,Kurt
Nurtekin,Ersöz
Oya,Doğan
Oğulbey,Kıran
Pakkan,Özsoy
Paşali,Doruk
Pembiş,Bayramoğlu
Peray,Işık
Peyruze,Heybet
Rabiye,Ateş
Refiye,Kısaoğlu
Rüknü,Sınıcı
Sadegül,Berk
Sart,Şarlak
Saybay,Sevingil
Sedit,Süner
Sonay,Şahin
Tabgaç,Keleş
Tagangül,Türe
Tanser,Özdemir
Tarduk,Babacan
Tayuk,Dinçer
Tağay,Yüce
Tecimen,Gümüşay
Terim,Ertürk
Terken,Özen
Tokuz,Timurtaş Dayar
Tümenboğa,Sözen
Tüze,Avcı
Ulaş,Güzelküçük
Ulusoy,Karakulak
Umar,Küçükyıldız
Umdu,Öziş
Uzay,Feyzullahoğlu
Uçman,Balaban
Vasıla,Kuday
Vataner,Üngür
Vefika,Gürpınar
Vefki,Yılmaz
Yumlu,Çelik
Yurtcan,Dağ
Zahide,İleri
Zeyni,Özalp
Zeynullah,Şengül
Zobu,Yetiz
Zülfibar,Kütükcü
Çelikten,Güngör
Çokay,Akıncı
Ökelik,Canbolat
Önderol,Avcı
Önderol,Çobanyıldızı
Özdilek,Aşan
Özhakan,Aydıner
Özyuva,Camcı
Özçın,Gazi
Öğrünç,Geçmen
Ünalan,Kulaksız
Ünlen,Işıkalan
İban,Demirtaş
İklil,Kaskalan
İkrameddin,Akman
İlbasmış,Hatipoğlu
İlksen,Şahiner
İmamettin,Aksu
Şahbaz,Onay
Şansel,Tokar
Şehlevent,Işık
Şensen,Özhan
Şükriye,Akşahin
